player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Bub Carrington,WAS,PG,PHI,PTS,20.7,BEST,-1
Bub Carrington,WAS,PG,PHI,PRA,35.5,BEST,-1
Tyrese Maxey,PHI,PG,WAS,PTS,27.3,WORST,1
Tyrese Maxey,PHI,PG,WAS,AST,9.1,WORST,1
Tyrese Maxey,PHI,PG,WAS,PRA,43.2,WORST,1
C.J. McCollum,WAS,SG,PHI,PTS,26.0,WORST,1
C.J. McCollum,WAS,SG,PHI,AST,6.0,WORST,1
C.J. McCollum,WAS,SG,PHI,PRA,38.2,WORST,1
Paul George,PHI,SF,WAS,PTS,24.0,WORST,1
Paul George,PHI,SF,WAS,REB,8.9,WORST,1
Paul George,PHI,SF,WAS,PRA,37.4,WORST,1
Dominick Barlow,PHI,PF,WAS,PTS,26.8,WORST,1
Dominick Barlow,PHI,PF,WAS,REB,13.1,WORST,1
Dominick Barlow,PHI,PF,WAS,AST,5.1,WORST,1
Dominick Barlow,PHI,PF,WAS,PRA,45.0,WORST,1
Marvin Bagley,WAS,C,PHI,AST,2.6,BEST,-1
Andre Drummond,PHI,C,WAS,PTS,25.7,WORST,1
Andre Drummond,PHI,C,WAS,REB,17.0,WORST,1
Andre Drummond,PHI,C,WAS,AST,4.9,WORST,1
Andre Drummond,PHI,C,WAS,PRA,47.6,WORST,1
Immanuel Quickley,TOR,PG,POR,PTS,26.7,WORST,1
Immanuel Quickley,TOR,PG,POR,AST,7.0,BEST,-1
Sidy Cissoko,POR,SG,TOR,PTS,22.1,BEST,-1
Sidy Cissoko,POR,SG,TOR,PRA,33.4,BEST,-1
Brandon Ingram,TOR,SF,POR,PTS,20.6,BEST,-1
Brandon Ingram,TOR,SF,POR,REB,9.8,WORST,1
Jakob Poeltl Off Inj,TOR,C,POR,PTS,23.9,WORST,1
De'Aaron Fox,SAS,PG,MEM,PTS,27.5,WORST,1
De'Aaron Fox,SAS,PG,MEM,AST,7.6,BEST,-1
De'Aaron Fox,SAS,PG,MEM,PRA,41.7,WORST,1
Julian Champagnie,SAS,SF,MEM,PTS,24.3,WORST,1
Julian Champagnie,SAS,SF,MEM,AST,5.1,WORST,1
Harrison Barnes,SAS,PF,MEM,PTS,19.1,BEST,-1
Harrison Barnes,SAS,PF,MEM,PRA,33.6,BEST,-1
Luke Kornet,SAS,C,MEM,AST,5.2,WORST,1
Jeremiah Fears,NOR,PG,MIN,REB,7.3,WORST,1
Trey Murphy,NOR,SG,MIN,REB,5.1,BEST,-1
Trey Murphy,NOR,SG,MIN,PRA,33.4,BEST,-1
Zion Williamson Off Inj,NOR,PF,MIN,AST,3.2,BEST,-1
Jalen Brunson,NYK,PG,BOS,PTS,20.6,BEST,-1
Jalen Brunson,NYK,PG,BOS,REB,5.6,BEST,-1
Jalen Brunson,NYK,PG,BOS,PRA,34.7,BEST,-1
Miles McBride,NYK,SG,BOS,REB,7.3,WORST,1
Mikal Bridges,NYK,SF,BOS,AST,3.2,BEST,-1
Josh Hart,NYK,PF,BOS,AST,3.4,BEST,-1
Brandin Podziemski,GSW,PG,OKC,PTS,20.2,BEST,-1
Brandin Podziemski,GSW,PG,OKC,AST,6.9,BEST,-1
Brandin Podziemski,GSW,PG,OKC,PRA,33.4,BEST,-1
Moses Moody,GSW,SG,OKC,AST,4.1,BEST,-1
Draymond Green,GSW,PF,OKC,PTS,20.5,BEST,-1
Quinten Post,GSW,C,OKC,PTS,18.6,BEST,-1
Quinten Post,GSW,C,OKC,AST,3.2,BEST,-1
Quinten Post,GSW,C,OKC,PRA,34.9,BEST,-1
